standard_key,standard_value,unit,category,source_id,data_status,reference_date,remarks
DEFAULT_CEILING_HEIGHT_M,2.7,m,SPACE,SPACE_STANDARD_01,MVP_ESTIMATE,2026-07-04,Representative vacant-space ceiling height
STANDARD_ENVELOPE_LOSS_COEFFICIENT_W_PER_M3K,0.8,W/m3K,THERMAL,SPACE_STANDARD_01,MVP_ESTIMATE,2026-07-04,Envelope coefficient excluding ventilation
STANDARD_AIR_CHANGE_RATE_PER_HOUR,0.5,1/h,VENTILATION,SPACE_STANDARD_01,MVP_ESTIMATE,2026-07-04,Representative air change rate
AIR_DENSITY_KG_PER_M3,1.204,kg/m3,AIR,AIR_WATER_PROPERTIES_01,RESEARCH,2026-07-04,Air density near 20C and 1 atm
AIR_SPECIFIC_HEAT_J_PER_KG_K,1005,J/kgK,AIR,AIR_WATER_PROPERTIES_01,RESEARCH,2026-07-04,Specific heat of air near room temperature
WATER_DENSITY_KG_PER_M3,997,kg/m3,WATER,AIR_WATER_PROPERTIES_01,RESEARCH,2026-07-04,Water density near 25C
WATER_SPECIFIC_HEAT_J_PER_KG_K,4186,J/kgK,WATER,AIR_WATER_PROPERTIES_01,RESEARCH,2026-07-04,Specific heat of water near 25C
STANDARD_ATMOSPHERIC_PRESSURE_PA,101325,Pa,AIR,AIR_WATER_PROPERTIES_01,RESEARCH,2026-07-04,Standard atmospheric pressure
WATTS_PER_KILOWATT,1000,W/kW,CONVERSION,UNIT_CONVERSION_01,OFFICIAL,2026-07-04,Unit conversion
JOULES_PER_KWH,3600000,J/kWh,CONVERSION,UNIT_CONVERSION_01,OFFICIAL,2026-07-04,1 kWh equals 3.6 million joules
LITERS_PER_M3,1000,L/m3,CONVERSION,UNIT_CONVERSION_01,OFFICIAL,2026-07-04,1000 liters equals 1 cubic meter
