crop_code,crop_name,crop_category,production_unit,yield_per_m2_per_cycle,cycles_per_month,marketable_ratio,target_temperature_c,target_relative_humidity,target_ppfd_umol_m2_s,photoperiod_hours_day,water_demand_l_per_m2_day,transpiration_l_per_m2_day,source_id,data_status,reference_date,remarks
LETTUCE,상추,LEAFY_GREEN,kg,2,1.5,0.9,20,0.7,180,16,2.5,1.8,CROP_LETTUCE_01,MVP_ESTIMATE,2026-07-04,Phase1 fixture retained; official production data replacement needed
BASIL,바질,HERB,kg,1.2,1.2,0.85,24,0.65,250,16,3,2.2,CROP_BASIL_01,MVP_ESTIMATE,2026-07-04,Indoor herb MVP estimate; source confirmation required
SPROUT_GINSENG,새싹삼,SPROUT_ROOT,root,120,1,0.85,22,0.7,100,14,1.2,0.8,CROP_SPROUT_GINSENG_01,MVP_ESTIMATE,2026-07-04,Sprout ginseng uses root unit; not ordinary mature ginseng
APPLE_MINT,애플민트,HERB,kg,1,1.3,0.85,22,0.65,200,16,2.5,1.7,CROP_APPLE_MINT_01,MVP_ESTIMATE,2026-07-04,Hydroponic herb MVP estimate; official source not confirmed
ROSEMARY,로즈마리,HERB,kg,0.7,1,0.82,22,0.6,250,16,1.6,1.2,CROP_ROSEMARY_01,MVP_ESTIMATE,2026-07-04,Woody herb MVP estimate; lower water demand assumed
RUCOLA,루콜라,LEAFY_GREEN,kg,1.8,1.6,0.88,20,0.65,180,14,2.2,1.6,CROP_RUCOLA_01,MVP_ESTIMATE,2026-07-04,Also known as arugula; MVP leafy-green estimate
DILL,딜,HERB,kg,1,1.2,0.82,20,0.65,200,16,2.5,1.8,CROP_DILL_01,MVP_ESTIMATE,2026-07-04,Hydroponic herb MVP estimate
EDIBLE_FLOWERS,식용 꽃,EDIBLE_FLOWER,ea,80,1,0.8,21,0.65,180,14,2,1.4,CROP_EDIBLE_FLOWERS_01,MVP_ESTIMATE,2026-07-04,Representative edible flowers counted by ea; species-specific model needed
CORIANDER,고수,HERB,kg,1.2,1.3,0.82,20,0.65,180,14,2.4,1.7,CROP_CORIANDER_01,MVP_ESTIMATE,2026-07-04,Coriander/cilantro MVP estimate
THYME,타임,HERB,kg,0.6,1,0.82,22,0.6,230,16,1.5,1.1,CROP_THYME_01,MVP_ESTIMATE,2026-07-04,Woody herb MVP estimate
LEMON_BALM,레몬밤,HERB,kg,0.9,1.2,0.85,22,0.65,200,16,2.3,1.6,CROP_LEMON_BALM_01,MVP_ESTIMATE,2026-07-04,Hydroponic herb MVP estimate
