package_code,crop_code,sales_channel,package_capacity,capacity_unit,package_cost_krw,source_id,data_status,reference_date,remarks
PKG_LETTUCE_LOCAL,LETTUCE,LOCAL_DIRECT,0.2,kg,120,PKG_LETTUCE_01,MVP_ESTIMATE,2026-07-04,200g bag or container equivalent
PKG_BASIL_LOCAL,BASIL,LOCAL_DIRECT,0.1,kg,180,PKG_BASIL_01,MVP_ESTIMATE,2026-07-04,100g herb pack equivalent
PKG_SPROUT_GINSENG_LOCAL,SPROUT_GINSENG,LOCAL_DIRECT,10,root,500,PKG_SPROUT_GINSENG_01,MVP_ESTIMATE,2026-07-04,10-root sprout ginseng pack equivalent
PKG_APPLE_MINT_LOCAL,APPLE_MINT,LOCAL_DIRECT,0.1,kg,180,PKG_APPLE_MINT_01,MVP_ESTIMATE,2026-07-04,100g herb pack equivalent
PKG_ROSEMARY_LOCAL,ROSEMARY,LOCAL_DIRECT,0.05,kg,180,PKG_ROSEMARY_01,MVP_ESTIMATE,2026-07-04,50g woody herb pack equivalent
PKG_RUCOLA_LOCAL,RUCOLA,LOCAL_DIRECT,0.2,kg,130,PKG_RUCOLA_01,MVP_ESTIMATE,2026-07-04,200g leafy pack equivalent
PKG_DILL_LOCAL,DILL,LOCAL_DIRECT,0.05,kg,180,PKG_DILL_01,MVP_ESTIMATE,2026-07-04,50g herb pack equivalent
PKG_EDIBLE_FLOWERS_LOCAL,EDIBLE_FLOWERS,LOCAL_DIRECT,20,ea,350,PKG_EDIBLE_FLOWERS_01,MVP_ESTIMATE,2026-07-04,20-piece edible flower pack equivalent
PKG_CORIANDER_LOCAL,CORIANDER,LOCAL_DIRECT,0.1,kg,180,PKG_CORIANDER_01,MVP_ESTIMATE,2026-07-04,100g herb pack equivalent
PKG_THYME_LOCAL,THYME,LOCAL_DIRECT,0.05,kg,180,PKG_THYME_01,MVP_ESTIMATE,2026-07-04,50g woody herb pack equivalent
PKG_LEMON_BALM_LOCAL,LEMON_BALM,LOCAL_DIRECT,0.1,kg,180,PKG_LEMON_BALM_01,MVP_ESTIMATE,2026-07-04,100g herb pack equivalent
