policy_key,policy_value,unit,source_id,data_status,reference_date,remarks
DAYS_PER_CROP_MONTH,30,day,OPERATING_POLICY_01,MVP_ESTIMATE,2026-07-04,Production cycle month remains 30-day standard
HOURS_PER_DAY,24,h/day,OPERATING_POLICY_01,OFFICIAL,2026-07-04,Unit definition
MONTHS_PER_YEAR,12,month/year,OPERATING_POLICY_01,OFFICIAL,2026-07-04,Unit definition
LABOR_HOURS_PER_SITE_PER_WEEK,8,h/site/week,OPERATING_POLICY_01,MVP_ESTIMATE,2026-07-04,Fixed short-time site labor model
LABOR_ONCOST_MULTIPLIER,1.2,ratio,OPERATING_POLICY_01,MVP_ESTIMATE,2026-07-04,Payroll ancillary cost multiplier
AUXILIARY_CLEANING_INTERVAL_MONTHS,3,month,OPERATING_POLICY_01,MVP_ESTIMATE,2026-07-04,Quarterly deep cleaning
AUXILIARY_CLEANING_WATER_L_PER_FLOOR_M2_EVENT,5,L/m2/event,OPERATING_POLICY_01,MVP_ESTIMATE,2026-07-04,Cleaning water per floor area per event
DEFAULT_LOCAL_DISTRIBUTION_COST_RATE,0.03,ratio,OPERATING_POLICY_01,MVP_ESTIMATE,2026-07-04,Local short-distance distribution and sales handling
REFERENCE_EQUIPMENT_COST_KRW,5000000,KRW,DEPRECIATION_POLICY_01,MVP_ESTIMATE,2026-07-04,Reference equipment cost
REFERENCE_EQUIPMENT_LIFETIME_YEARS,5,year,DEPRECIATION_POLICY_01,MVP_ESTIMATE,2026-07-04,Reference useful life
REFERENCE_EQUIPMENT_CULTIVATION_AREA_M2,30,m2,DEPRECIATION_POLICY_01,MVP_ESTIMATE,2026-07-04,Reference supported cultivation area
CONTRACT_POWER_SAFETY_FACTOR,1.2,ratio,UTILITY_RATE_01,MVP_ESTIMATE,2026-07-04,Estimated contract power safety factor
