material_id,crop_code,material_category,material_name,quantity_basis,quantity_per_basis,material_unit,unit_price_krw,loss_rate,source_id,data_status,reference_date,remarks
MAT_LETTUCE_PLANT,LETTUCE,PLANTING_MATERIAL,lettuce seedling equivalent,PER_M2_CYCLE,1,m2-cycle,150,0,MAT_LETTUCE_01,MVP_ESTIMATE,2026-07-04,Seed or seedling equivalent MVP estimate
MAT_LETTUCE_NUTRIENT,LETTUCE,NUTRIENT,nutrient solution,PER_M2_CYCLE,1,m2-cycle,60,0,MAT_LETTUCE_01,MVP_ESTIMATE,2026-07-04,Nutrient MVP estimate
MAT_LETTUCE_MEDIUM,LETTUCE,GROWING_MEDIUM,growing sponge or medium,PER_M2_CYCLE,1,m2-cycle,40,0,MAT_LETTUCE_01,MVP_ESTIMATE,2026-07-04,Growing medium MVP estimate
MAT_LETTUCE_CONSUMABLE,LETTUCE,CONSUMABLE,filters gloves and small consumables,PER_M2_CYCLE,1,m2-cycle,50,0,MAT_LETTUCE_01,MVP_ESTIMATE,2026-07-04,Consumables MVP estimate
MAT_BASIL_PLANT,BASIL,PLANTING_MATERIAL,basil seedling equivalent,PER_M2_CYCLE,1,m2-cycle,240,0,MAT_BASIL_01,MVP_ESTIMATE,2026-07-04,Seed or seedling equivalent MVP estimate
MAT_BASIL_NUTRIENT,BASIL,NUTRIENT,nutrient solution,PER_M2_CYCLE,1,m2-cycle,80,0,MAT_BASIL_01,MVP_ESTIMATE,2026-07-04,Nutrient MVP estimate
MAT_BASIL_MEDIUM,BASIL,GROWING_MEDIUM,growing medium,PER_M2_CYCLE,1,m2-cycle,40,0,MAT_BASIL_01,MVP_ESTIMATE,2026-07-04,Growing medium MVP estimate
MAT_BASIL_CONSUMABLE,BASIL,CONSUMABLE,filters gloves and small consumables,PER_M2_CYCLE,1,m2-cycle,40,0,MAT_BASIL_01,MVP_ESTIMATE,2026-07-04,Consumables MVP estimate
MAT_SPROUT_GINSENG_PLANT,SPROUT_GINSENG,PLANTING_MATERIAL,one-year ginseng seedling root,PER_M2_CYCLE,120,root,500,0,MAT_SPROUT_GINSENG_01,MVP_ESTIMATE,2026-07-04,Seedling root cost dominates sprout ginseng materials; market confirmation required
MAT_SPROUT_GINSENG_NUTRIENT,SPROUT_GINSENG,NUTRIENT,nutrient solution,PER_M2_CYCLE,1,m2-cycle,120,0,MAT_SPROUT_GINSENG_01,MVP_ESTIMATE,2026-07-04,Nutrient MVP estimate
MAT_SPROUT_GINSENG_MEDIUM,SPROUT_GINSENG,GROWING_MEDIUM,tray and medium,PER_M2_CYCLE,1,m2-cycle,300,0,MAT_SPROUT_GINSENG_01,MVP_ESTIMATE,2026-07-04,Tray and medium MVP estimate
MAT_SPROUT_GINSENG_CONSUMABLE,SPROUT_GINSENG,CONSUMABLE,sanitation and small consumables,PER_M2_CYCLE,1,m2-cycle,150,0,MAT_SPROUT_GINSENG_01,MVP_ESTIMATE,2026-07-04,Consumables MVP estimate
MAT_APPLE_MINT_PLANT,APPLE_MINT,PLANTING_MATERIAL,apple mint cutting or seedling,PER_M2_CYCLE,1,m2-cycle,280,0,MAT_APPLE_MINT_01,MVP_ESTIMATE,2026-07-04,MVP herb planting material
MAT_APPLE_MINT_NUTRIENT,APPLE_MINT,NUTRIENT,nutrient solution,PER_M2_CYCLE,1,m2-cycle,80,0,MAT_APPLE_MINT_01,MVP_ESTIMATE,2026-07-04,MVP herb nutrient
MAT_APPLE_MINT_CONSUMABLE,APPLE_MINT,CONSUMABLE,small consumables,PER_M2_CYCLE,1,m2-cycle,80,0,MAT_APPLE_MINT_01,MVP_ESTIMATE,2026-07-04,MVP herb consumables
MAT_ROSEMARY_PLANT,ROSEMARY,PLANTING_MATERIAL,rosemary cutting or seedling,PER_M2_CYCLE,1,m2-cycle,350,0,MAT_ROSEMARY_01,MVP_ESTIMATE,2026-07-04,MVP woody herb planting material
MAT_ROSEMARY_NUTRIENT,ROSEMARY,NUTRIENT,nutrient solution,PER_M2_CYCLE,1,m2-cycle,70,0,MAT_ROSEMARY_01,MVP_ESTIMATE,2026-07-04,MVP herb nutrient
MAT_ROSEMARY_CONSUMABLE,ROSEMARY,CONSUMABLE,small consumables,PER_M2_CYCLE,1,m2-cycle,100,0,MAT_ROSEMARY_01,MVP_ESTIMATE,2026-07-04,MVP herb consumables
